Cut sets,BE1,BE10,BE11,BE12,BE2,BE3,BE4,BE5,BE6,BE7,BE8,BE9,T,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1,0,0,0,0,0,0,0,0,0,0,0,1,0,21
2,0,0,0,0,0,0,0,0,0,0,1,0,0,17
3,0,0,0,0,0,0,0,0,0,0,1,1,0,26
4,0,0,0,0,0,0,0,0,0,1,0,0,0,21
5,0,0,0,0,0,0,0,0,0,1,0,1,0,17
6,0,0,0,0,0,0,0,0,0,1,1,0,0,20
7,0,0,0,0,0,0,0,0,0,1,1,1,0,34
8,0,0,0,0,0,0,0,0,1,0,0,0,0,27
9,0,0,0,0,0,0,0,0,1,0,0,1,0,19
10,0,0,0,0,0,0,0,0,1,0,1,0,0,34
11,0,0,0,0,0,0,0,0,1,0,1,1,0,24
12,0,0,0,0,0,0,0,0,1,1,0,0,0,21
13,0,0,0,0,0,0,0,0,1,1,0,1,0,18
14,0,0,0,0,0,0,0,0,1,1,1,0,0,21
15,0,0,0,0,0,0,0,0,1,1,1,1,0,27
16,0,0,0,0,0,0,0,1,0,0,0,0,0,19
17,0,0,0,0,0,0,0,1,0,0,0,1,0,25
18,0,0,0,0,0,0,0,1,0,0,1,0,0,29
19,0,0,0,0,0,0,0,1,0,0,1,1,0,21
20,0,0,0,0,0,0,0,1,0,1,0,0,0,27
21,0,0,0,0,0,0,0,1,0,1,0,1,0,23
22,0,0,0,0,0,0,0,1,0,1,1,0,0,27
23,0,0,0,0,0,0,0,1,0,1,1,1,0,21
24,0,0,0,0,0,0,0,1,1,0,0,0,0,26
25,0,0,0,0,0,0,0,1,1,0,0,1,0,28
26,0,0,0,0,0,0,0,1,1,0,1,0,0,32
27,0,0,0,0,0,0,0,1,1,0,1,1,0,24
28,0,0,0,0,0,0,0,1,1,1,0,0,0,23
29,0,0,0,0,0,0,0,1,1,1,0,1,0,25
30,0,0,0,0,0,0,0,1,1,1,1,0,0,23
31,0,0,0,0,0,0,0,1,1,1,1,1,0,18
32,0,0,0,0,0,0,1,0,0,0,0,0,0,21
33,0,0,0,0,0,0,1,0,0,0,0,1,0,19
34,0,0,0,0,0,0,1,0,0,0,1,0,0,24
35,0,0,0,0,0,0,1,0,0,0,1,1,0,27
36,0,0,0,0,0,0,1,0,0,1,0,0,0,21
37,0,0,0,0,0,0,1,0,0,1,0,1,0,24
38,0,0,0,0,0,0,1,0,0,1,1,0,0,23
39,0,0,0,0,0,0,1,0,0,1,1,1,0,23
40,0,0,0,0,0,0,1,0,1,0,0,0,0,23
41,0,0,0,0,0,0,1,0,1,0,0,1,0,24
42,0,0,0,0,0,0,1,0,1,0,1,0,0,25
43,0,0,0,0,0,0,1,0,1,0,1,1,0,20
44,0,0,0,0,0,0,1,0,1,1,0,0,0,28
45,0,0,0,0,0,0,1,0,1,1,0,1,0,29
46,0,0,0,0,0,0,1,0,1,1,1,0,0,20
47,0,0,0,0,0,0,1,0,1,1,1,1,0,23
48,0,0,0,0,0,0,1,1,0,0,0,0,0,25
49,0,0,0,0,0,0,1,1,0,0,0,1,0,21
50,0,0,0,0,0,0,1,1,0,0,1,0,0,22
51,0,0,0,0,0,0,1,1,0,0,1,1,0,21
52,0,0,0,0,0,0,1,1,0,1,0,0,0,26
53,0,0,0,0,0,0,1,1,0,1,0,1,0,23
54,0,0,0,0,0,0,1,1,0,1,1,0,0,31
55,0,0,0,0,0,0,1,1,0,1,1,1,0,31
56,0,0,0,0,0,0,1,1,1,0,0,0,0,29
57,0,0,0,0,0,0,1,1,1,0,0,1,0,22
58,0,0,0,0,0,0,1,1,1,0,1,0,0,20
59,0,0,0,0,0,0,1,1,1,0,1,1,0,28
60,0,0,0,0,0,0,1,1,1,1,0,0,0,27
61,0,0,0,0,0,0,1,1,1,1,0,1,0,21
62,0,0,0,0,0,0,1,1,1,1,1,0,0,22
63,0,0,0,0,0,0,1,1,1,1,1,1,0,23
64,0,0,0,0,0,1,0,0,0,0,0,0,0,19
65,0,0,0,0,0,1,0,0,0,0,0,1,0,15
66,0,0,0,0,0,1,0,0,0,0,1,0,0,17
67,0,0,0,0,0,1,0,0,0,0,1,1,0,23
68,0,0,0,0,0,1,0,0,0,1,0,0,0,24
69,0,0,0,0,0,1,0,0,0,1,0,1,0,29
70,0,0,0,0,0,1,0,0,0,1,1,0,0,21
71,0,0,0,0,0,1,0,0,0,1,1,1,0,23
